FECHA,PROVINCIA,TIPO_TRANSPORTE,TOTAL_VIAJES
2024-01-10,SAN JUAN,COLECTIVO,236849
2024-01-10,SAN LUIS,COLECTIVO,44822
2024-01-10,SANTA CRUZ,COLECTIVO,6357
2024-01-10,SANTA FE,COLECTIVO,456223
2024-01-10,SANTIAGO DEL ESTERO,COLECTIVO,1045
2024-01-10,TIERRA DEL FUEGO,COLECTIVO,24027
2024-01-11,BUENOS AIRES,COLECTIVO,4672911
2024-01-11,BUENOS AIRES,LANCHAS,1748
2024-01-11,CATAMARCA,COLECTIVO,41040
2024-01-11,CHACO,COLECTIVO,64686
2024-01-11,CHUBUT,COLECTIVO,67229
2024-01-11,CORDOBA,COLECTIVO,3050
2024-01-11,CORRIENTES,COLECTIVO,52561
2024-01-11,ENTRE RÍOS,COLECTIVO,83080
2024-01-11,FORMOSA,COLECTIVO,14871
2024-01-11,JUJUY,COLECTIVO,1546
2024-01-11,LA PAMPA,COLECTIVO,7722
2024-01-11,MENDOZA,COLECTIVO,549510
2024-01-11,NEUQUÉN,COLECTIVO,74890
2024-01-11,RÍO NEGRO,COLECTIVO,57166
2024-01-11,SAN JUAN,COLECTIVO,241847
2024-01-11,SAN LUIS,COLECTIVO,45455
2024-01-11,SANTA CRUZ,COLECTIVO,6143
2024-01-11,SANTA FE,COLECTIVO,465545
2024-01-11,SANTIAGO DEL ESTERO,COLECTIVO,787
2024-01-11,TIERRA DEL FUEGO,COLECTIVO,24115
2024-01-12,BUENOS AIRES,COLECTIVO,4865369
2024-01-12,BUENOS AIRES,LANCHAS,2293
2024-01-12,CATAMARCA,COLECTIVO,40001
2024-01-12,CHACO,COLECTIVO,83002
2024-01-12,CHUBUT,COLECTIVO,69637
2024-01-12,CORDOBA,COLECTIVO,3204
2024-01-12,CORRIENTES,COLECTIVO,68299
2024-01-12,ENTRE RÍOS,COLECTIVO,86058
2024-01-12,FORMOSA,COLECTIVO,26777
2024-01-12,JUJUY,COLECTIVO,16721
2024-01-12,LA PAMPA,COLECTIVO,7280
2024-01-12,MENDOZA,COLECTIVO,578568
2024-01-12,NEUQUÉN,COLECTIVO,78173
